TRACTCE,date_Opened,docket_number,problem code,Process Type,Type of Eviction,Result,Is Section 8 Client?,Other subsidized housing?,Originally a no-cause case?,language,gender,race,marital,veteran_household,disabled,disabled person in household,female-headed household?,seniors in household?,occupation,poverty,income,income1,adults,children,number of persons in household,client_age,ageRange,main benefit,city,zip,special problem code 2,special problem code 3,
607701,2/6/2015,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,S,No,No,Unknown,Unknown,Unknown,Employed,104.12,24000,Employment or Self-Employment,2,2,4,33,Adult,601 Educated clients on rights,San Mateo,94401,,,
607800,2/21/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,White,Unknown,No,No,Unknown,Unknown,Unknown,Employed,78.09,18000,Employment or Self-Employment,4,0,4,42,Adult,601 Educated clients on rights,San Bruno,94403,,,
608001,5/16/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,M,White,M,No,No,Unknown,Unknown,Yes,Could Not Determine,174.49,26400,Social Security Benefits (All Types),2,0,2,71,Senior (60+),601 Educated clients on rights,Foster City,94404,,,
608013,5/16/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,M,White,D,No,No,Unknown,Unknown,Unknown,Employed,225.60,25200,Employment or Self-Employment,1,0,1,50,Adult,601 Educated clients on rights,Foster City,94404,,,
608501,6/27/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,M,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Employed,92.98,10944,Employment or Self-Employment,1,0,1,41,Adult,601 Educated clients on rights,San Mateo,94403,,,
608501,6/27/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,M,Other,DP,No,No,Unknown,Unknown,Yes,Not Employed,66.64,18000,Social Security Benefits (All Types),1,4,5,63,Senior (60+),601 Educated clients on rights,San Mateo,94403,,,
608502,1/6/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,Hispanic & Other,S,No,No,Unknown,Unknown,Unknown,Employed,261.73,39600,Employment or Self-Employment,2,0,2,37,Adult,601 Educated clients on rights,San Mateo,94403,,,
609000,7/12/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,Hispanic & White,P,No,No,Unknown,Yes,Yes,Employed,0.00,Unknown,Employment or Self-Employment,1,0,1,65,Senior (60+),601 Educated clients on rights,Belmont,94002,,,
609100,6/23/2015,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,Hispanic & Other,S,No,No,Unknown,Yes,Unknown,Employed,204.12,22800,Employment or Self-Employment,1,0,1,32,Adult,601 Educated clients on rights,San Carlos,94070,6302 Pvt LL/T Term Notice No cause,6305 Pvt LL/T Habitability,
609201,7/14/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,White,D,No,No,Unknown,Unknown,Yes,Retired,37.28,5640,SSI,2,0,2,75,Senior (60+),601 Educated clients on rights,San Carlos,94070,6970 Hotel Motel,,
609202,1/17/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,White,M,No,No,Unknown,Unknown,Yes,Not Employed,189.32,28644,Social Security Benefits (All Types),2,Unknown,2,67,Senior (60+),601 Educated clients on rights,San Carlos,94070,6305 Pvt LL/T Habitability,,
609202,5/9/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,M,White,DP,No,No,Unknown,Unknown,Unknown,Employed,555.19,84000,Employment or Self-Employment,2,0,2,49,Adult,601 Educated clients on rights,San Carlos,94070,,,
609300,2/27/2015,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,Hispanic & Other,S,No,No,Unknown,Yes,Unknown,Employed,317.25,48000,Employment or Self-Employment,1,1,2,23,Adult,601 Educated clients on rights,San Carlos,94070,,,
610201,1/4/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Could Not Determine,0.00,0,Child/Spousal Support,4,2,6,31,Adult,601 Educated clients on rights,Redwood City,94063,,,
610201,9/30/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Not Employed,59.09,30000,Employment or Self-Employment,7,4,11,44,Adult,601 Educated clients on rights,Redwood City,94063,,,
610201,10/18/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Employed,0.00,Unknown,Employment or Self-Employment,2,5,7,32,Adult,601 Educated clients on rights,Redwood City,94063,,,
610201,4/18/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,S,No,No,Unknown,Unknown,Unknown,Employed,33.71,10440,Employment or Self-Employment,3,3,6,34,Adult,601 Educated clients on rights,Redwood City,94063,6305 Pvt LL/T Habitability,,
610201,9/12/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,White,S,No,No,Unknown,Yes,Unknown,Employed,257.83,28800,Employment or Self-Employment,1,0,1,24,Adult,601 Educated clients on rights,Redwood City,94063,,,
610201,6/19/2015,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,D,No,No,Unknown,Unknown,Unknown,Employed,69.15,13200,Employment or Self-Employment,2,1,3,57,Adult,601 Educated clients on rights,Redwood City,94063,,,
610202,1/3/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,M,White,Unknown,No,Yes,Yes,Unknown,Unknown,Not Employed,119.36,13332,Social Security Benefits (All Types),1,0,1,57,Adult,601 Educated clients on rights,Redwood City,94063,,,
610202,9/5/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,White,M,No,No,Unknown,Yes,Unknown,Not Employed,0.00,0,Other/Unknown,1,Unknown,1,Unknown,Unknown,601 Educated clients on rights,Redwood City,94063,,,
610203,3/21/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,M,Hispanic & White,M,No,No,Unknown,Unknown,Unknown,Could Not Determine,7.74,2200,Employment or Self-Employment,3,2,5,38,Adult,601 Educated clients on rights,Redwood City,94063,,,
610400,12/6/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Not Employed,67.81,21000,Spouse/Partner's Income,3,3,6,41,Adult,601 Educated clients on rights,Redwood City,94063,,,
610400,5/8/2015,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Could Not Determine,104.12,24000,Spouse/Partner's Income,2,2,4,44,Adult,601 Educated clients on rights,Redwood City,94063,,,
610500,4/26/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,Black/African American,D,No,No,Unknown,Yes,Yes,Not Employed,121.40,13560,State Disability Insurance (SDI),1,0,1,61,Senior (60+),601 Educated clients on rights,Redwood City,94063,,,
610500,12/16/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,Unknown,No,No,Unknown,Yes,Unknown,Employed,62.47,14400,Employment or Self-Employment,1,3,4,Unknown,Unknown,601 Educated clients on rights,Redwood City,94063,,,
610601,8/26/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,S,No,No,Unknown,Unknown,Unknown,Employed,82.23,31980,Employment or Self-Employment,4,4,8,33,Adult,601 Educated clients on rights,Redwood City,94063,6305 Pvt LL/T Habitability,,
610601,10/28/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,M,Black/African American,S,No,No,Unknown,Unknown,Unknown,Not Employed,161.15,18000,VA Benefits (All Types),1,0,1,43,Adult,601 Educated clients on rights,Menlo Park,94025,,,
610601,11/8/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Not Employed,62.47,14400,Spouse/Partner's Income,2,2,4,25,Adult,601 Educated clients on rights,Redwood City,94063,6306 Pvt LL/T Change in Terms of Tenancy,,
610601,12/20/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Employed,102.18,27600,Employment or Self-Employment,2,3,5,36,Adult,601 Educated clients on rights,Redwood City,94063,,,
610601,5/19/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,Move,No,No,,English,F,Black/African American,D,No,No,Unknown,Yes,Unknown,Employed,193.38,21600,Employment or Self-Employment,1,0,1,Unknown,Unknown,602 Extended time in home before eviction,Redwood City,94063,,,
610601,1/14/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,S,No,Yes,Yes,Yes,Unknown,Employed,78.09,18000,Employment or Self-Employment,1,3,4,42,Adult,,Redwood City,94063,,,
610700,2/8/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,M,White,M,No,Yes,Yes,Unknown,Unknown,Not Employed,150.69,22800,State Disability Insurance (SDI),2,0,2,59,Adult,601 Educated clients on rights,Redwood City,94061,,,
610700,12/17/2012,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,Move,No,No,,Spanish,M,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Employed,222.08,33600,Employment or Self-Employment,2,0,2,50,Adult,602 Extended time in home before eviction,Redwood City,94061,,,
610900,3/1/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,White,M,No,No,Unknown,Unknown,Unknown,Not Employed,104.12,24000,Other/Unknown,3,1,4,40,Adult,601 Educated clients on rights,Redwood City,94061,,,
610900,5/3/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,Hispanic & Other,S,No,No,Unknown,Yes,Unknown,Employed,0.00,0,Employment or Self-Employment,1,2,3,22,Adult,601 Educated clients on rights,Redwood City,94062,,,
610900,9/13/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,M,Hispanic & Other,S,No,No,Unknown,Unknown,Yes,Retired,44.10,6672,SSI,2,0,2,72,Senior (60+),601 Educated clients on rights,Redwood City,94062,,,
610900,5/23/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,Asian: Unspecified,M,No,No,Unknown,Yes,Unknown,Not Employed,0.00,0,Not Applicable,1,6,7,47,Adult,601 Educated clients on rights,Redwood City,94063,6302 Pvt LL/T Term Notice No cause,,
611000,5/10/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Employed,174.36,54000,Employment or Self-Employment,3,3,6,36,Adult,601 Educated clients on rights,Redwood City,94061,,,
611700,6/21/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,M,Black/African American,Unknown,No,Yes,Yes,Unknown,Unknown,Could Not Determine,0.00,0,Other/Unknown,1,0,1,26,Adult,601 Educated clients on rights,Menlo Park,94025,,,
611700,2/20/2015,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,M,Black/African American,S,No,Yes,Yes,Unknown,Unknown,Could Not Determine,229.90,34783.8,Social Security Benefits (All Types),2,0,2,58,Adult,601 Educated clients on rights,Menlo Park,94025,,,
611800,10/25/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,M,Hispanic & Other,Unknown,No,No,Unknown,Unknown,Yes,Retired,89.89,27840,Social Security Benefits (All Types),5,1,6,67,Senior (60+),601 Educated clients on rights,East Palo Alto,94303,,,
611900,12/31/2012,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,M,Hispanic & Other,Unknown,No,No,Unknown,Unknown,Unknown,Employed,418.98,46800,Employment or Self-Employment,1,0,1,43,Adult,601 Educated clients on rights,East Palo Alto,94303,6760 Pre FC Tenant in possession,,
611900,1/14/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Not Employed,51.27,24000,Spouse/Partner's Income,6,4,10,36,Adult,601 Educated clients on rights,East Palo Alto,94303,,,
611900,3/15/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,M,Hispanic & Other,S,No,Yes,Yes,Unknown,Unknown,Not Employed,0.00,0,Other/Unknown,2,0,2,44,Adult,601 Educated clients on rights,East Palo Alto,94303,6910 Rent Control/Eviction Control [EPA],,
611900,3/21/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,M,Hispanic & Other,S,No,No,Unknown,Unknown,Unknown,Could Not Determine,0.00,0,Other/Unknown,1,0,1,40,Adult,601 Educated clients on rights,East Palo Alto,94303,6910 Rent Control/Eviction Control [EPA],,
612000,1/31/2014,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Not Employed,30.70,16800,Social Security Benefits (All Types),2,10,12,39,Adult,601 Educated clients on rights,East Palo Alto,94303,,,
612100,5/10/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,Native Hawaiian/Pacific Islander: Guamanian,S,No,No,Unknown,Yes,Unknown,Employed,0.00,Unknown,Employment or Self-Employment,1,Unknown,1,32,Adult,601 Educated clients on rights,East Palo Alto,94303,6910 Rent Control/Eviction Control [EPA],,
612100,8/9/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Not Employed,63.93,19800,Spouse/Partner's Income,2,4,6,36,Adult,601 Educated clients on rights,East Palo Alto,94303,6910 Rent Control/Eviction Control [EPA],,
612100,12/13/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,Pay and stay,No,No,,Spanish,M,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Employed,157.15,30000,Employment or Self-Employment,2,1,3,20,Adult,609 UD-obtained dismissal,East Palo Alto,94303,,,
612100,3/19/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,Move,No,No,,English,M,Black/African American,Unknown,No,No,Unknown,Unknown,Unknown,Employed,247.09,27600,Employment or Self-Employment,1,0,1,48,Adult,610 UD-settlement move out,East Palo Alto,94303,6910 Rent Control/Eviction Control [EPA],,
612100,12/13/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,Move,No,No,,Spanish,M,Hispanic & Other,Unknown,No,No,Unknown,Unknown,Unknown,Employed,238.87,45600,Employment or Self-Employment,2,1,3,55,Adult,610 UD-settlement move out,East Palo Alto,94303,,,
612100,2/19/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,Pay and stay,No,No,,Spanish,M,Hispanic & Other,S,No,No,Unknown,Unknown,Unknown,Employed,285.53,43200,Employment or Self-Employment,2,0,2,26,Adult,611 UD-settlement pay&stay,East Palo Alto,94303,,,
612100,7/5/2012,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,M,White,M,Unknown,No,Unknown,Unknown,Unknown,Employed,84.48,24000,Employment or Self-Employment,3,2,5,52,Adult,616 Other favorable outcome,East Palo Alto,94303,,,
612100,2/25/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,No,English,M,Black/African American,D,No,No,No,No,No,Employed,150.40,16800,Employment or Self-Employment,1,0,1,57,Adult,616 Other favorable outcome,East Palo Alto,94303,,,
612100,5/24/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,Spanish,F,Hispanic & Other,Unknown,No,No,Unknown,Unknown,Unknown,Employed,116.24,36000,Employment or Self-Employment,2,4,6,35,Adult,,East Palo Alto,94303,,,
613501,9/16/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,Asian: Chinese,D,No,No,Unknown,Yes,Unknown,Not Employed,0.00,0,Other/Unknown,1,2,3,46,Adult,601 Educated clients on rights,Half Moon Bay,94019,,,
Unknown,6/11/2013,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,,No,No,,English,F,Unknown,S,No,No,Unknown,Unknown,Unknown,Could Not Determine,0.00,0,Other/Unknown,2,0,2,58,Adult,601 Educated clients on rights,Brisbane,,,,
Unknown,12/28/2012,,6300 Private LL/T Term Notice N/P Rent,Notice,Cause - N/P,Move,No,No,,English,M,White,S,No,Yes,Yes,Unknown,Unknown,Not Employed,91.75,10248,SSI,1,0,1,48,Adult,602 Extended time in home before eviction,Daly City,94017,,,
26100,5/13/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,Spanish,M,Hispanic & Other,DP,No,No,Unknown,Unknown,Unknown,Employed,104.12,24000,Employment or Self-Employment,4,0,4,46,Adult,616 Other favorable outcome,San Francisco,94112,,,
31201,5/22/2014,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,F,White,S,No,No,Unknown,Yes,Unknown,Employed,472.69,52800,Employment or Self-Employment,1,0,1,28,Adult,601 Educated clients on rights,San Francisco,94112,,,
600200,1/7/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,F,Hispanic & Other,D,No,Yes,Yes,Unknown,Unknown,Not Employed,50.04,9552,SSI,3,0,3,42,Adult,601 Educated clients on rights,Daly City,94014,,,
600500,9/17/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,Spanish,F,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Employed,0.00,Unknown,Employment or Self-Employment,3,Unknown,3,49,Adult,601 Educated clients on rights,Daly City,94014,,,
600700,9/10/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,Tagalog,F,Asian: Filipino,M,No,No,Unknown,Unknown,Unknown,Not Employed,62.47,14400,Other/Unknown,4,0,4,39,Adult,601 Educated clients on rights,Daly City,94014,,,
600700,1/21/2014,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,Spanish,M,Hispanic & Other,M,No,Yes,Yes,Unknown,Yes,Retired,193.38,21600,Pension,1,0,1,79,Senior (60+),601 Educated clients on rights,Daly City,94014,,,
600800,10/7/2014,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,Spanish,M,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Employed,145.15,33456,Employment or Self-Employment,2,2,4,57,Adult,601 Educated clients on rights,Daly City,94015,6610 Discrim Disability failure to accommodate,,
601300,4/28/2014,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,F,White,S,No,No,Unknown,Unknown,Unknown,Employed,206.21,31200,Employment or Self-Employment,2,0,2,21,Adult,601 Educated clients on rights,Daly City,94014,,,
601300,10/21/2014,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,M,White,S,No,No,Unknown,Unknown,Unknown,Could Not Determine,376.01,42000,Other/Unknown,1,Unknown,1,23,Adult,601 Educated clients on rights,Daly City,94014,,,
601300,12/19/2014,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,F,Asian: Unspecified,S,No,No,Unknown,Unknown,Unknown,Employed,154.99,48000,Expenses for Elderly or Infirm Household Member,4,2,6,57,Adult,601 Educated clients on rights,Daly City,94014,,,
601300,5/5/2015,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,M,White,W,No,Yes,Yes,Unknown,Unknown,Could Not Determine,0.00,0,Other/Unknown,1,0,1,55,Adult,601 Educated clients on rights,Daly City,94014,,,
601400,6/11/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,M,Asian: Filipino,M,No,No,Unknown,Unknown,Unknown,Not Employed,0.00,0,Other/Unknown,2,2,4,42,Adult,601 Educated clients on rights,Daly City,94015,6305 Pvt LL/T Habitability,,
601400,12/10/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,Tagalog,M,Asian: Filipino,Unknown,No,No,Unknown,Unknown,Unknown,Employed,48.10,16800,Employment or Self-Employment,7,0,7,54,Adult,601 Educated clients on rights,Daly City,94015,,,
601400,2/10/2015,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,F,Asian: Filipino,M,No,No,Unknown,Unknown,Unknown,Could Not Determine,126.62,34200,Welfare (CAL Works),2,3,5,43,Adult,601 Educated clients on rights,Daly City,94015,6305 Pvt LL/T Habitability,,
601501,7/28/2014,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,M,Asian: Unspecified,Unknown,No,No,Unknown,Unknown,Unknown,Employed,364.43,84000,Employment or Self-Employment,4,0,4,31,Adult,601 Educated clients on rights,Daly City,94015,,,
601502,1/15/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,Tagalog,F,Asian: Filipino,W,No,No,Unknown,Unknown,Yes,Employed,156.18,36000,Employment or Self-Employment,4,0,4,64,Senior (60+),601 Educated clients on rights,Daly City,94015,,,
601604,5/12/2015,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,F,White,W,No,Yes,Yes,Yes,Yes,Could Not Determine,225.60,25200,Social Security Benefits (All Types),1,0,1,64,Senior (60+),601 Educated clients on rights,Daly City,94015,,,
601605,4/21/2015,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,F,Hispanic & White,M,No,Yes,Yes,Unknown,Unknown,Could Not Determine,273.55,41388,State Disability Insurance (SDI),2,0,2,51,Adult,601 Educated clients on rights,Daly City,94015,,,
601902,9/17/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,M,Other,M,No,No,Unknown,Unknown,Unknown,Not Employed,0.00,0,Other/Unknown,2,Unknown,2,42,Adult,601 Educated clients on rights,South San Francisco,94080,6610 Discrim Disability failure to accommodate,,
602200,10/18/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,Spanish,M,Hispanic & Other,S,No,No,Unknown,Unknown,Unknown,Employed,214.86,24000,Employment or Self-Employment,1,0,1,46,Adult,601 Educated clients on rights,South San Francisco,94080,,,
602300,9/10/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,M,Asian: Other,M,No,No,Unknown,Unknown,Unknown,Employed,268.58,30000,Other/Unknown,1,0,1,56,Adult,601 Educated clients on rights,South San Francisco,94080,6970 Hotel Motel,,
603300,10/8/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,F,White,D,No,No,Unknown,Unknown,Unknown,Employed,89.12,27600,Employment or Self-Employment,2,4,6,31,Adult,601 Educated clients on rights,Pacifica,94044,,,
603400,6/2/2014,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,M,White,M,No,No,Unknown,Unknown,Unknown,Employed,76.91,36000,Employment or Self-Employment,4,6,10,30,Adult,601 Educated clients on rights,Pacifica,94044,,,
603801,12/10/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,Pay and stay,No,No,,English,M,Hispanic & Other,S,No,Yes,Yes,Unknown,Unknown,Not Employed,0.00,0,Other/Unknown,1,1,2,45,Adult,609 UD-obtained dismissal,San Bruno,94066,,,
604101,8/26/2014,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,F,Hispanic & Other,D,No,No,Unknown,Unknown,Unknown,Employed,240.78,55500,Employment or Self-Employment,2,2,4,44,Adult,601 Educated clients on rights,San Bruno,94066,,,
604101,2/19/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,Pay and stay,No,No,,English,F,Asian: Chinese,M,No,No,Unknown,Unknown,Unknown,Employed,206.21,31200,Employment or Self-Employment,2,0,2,56,Adult,604 Prevented illegal eviction (non-UD),San Bruno,94066,,,
604102,2/22/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,F,Other,M,No,No,Unknown,Unknown,Unknown,Not Employed,475.88,72000,Employment or Self-Employment,2,Unknown,2,35,Adult,601 Educated clients on rights,San Bruno,94066,,,
604700,6/28/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,F,American Indian/Alaska Native,D,No,Yes,Yes,Yes,Unknown,Not Employed,227.94,34488,Social Security Benefits (All Types),1,1,2,50,Adult,601 Educated clients on rights,Millbrae,94030,,,
604800,6/11/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,Mandarin,F,Asian: Chinese,M,No,No,Unknown,Unknown,Unknown,Employed,104.12,24000,Employment or Self-Employment,2,2,4,46,Adult,601 Educated clients on rights,Millbrae,94030,,,
606000,2/14/2014,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,Spanish,F,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Employed,77.49,24000,Employment or Self-Employment,4,2,6,38,Adult,601 Educated clients on rights,San Mateo,94401,,,
606000,12/5/2014,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,F,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Could Not Determine,94.29,18000,Spouse/Partner's Income,2,1,3,45,Adult,601 Educated clients on rights,San Mateo,94401,,,
606200,12/28/2012,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,M,Native Hawaiian/Pacific Islander: Hawaiian,S,No,No,Unknown,Unknown,Unknown,Employed,128.92,14400,Employment or Self-Employment,1,0,1,44,Adult,601 Educated clients on rights,San Mateo,94401,,,
606200,2/13/2015,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,Spanish,M,Hispanic & Other,S,No,No,Unknown,Unknown,Unknown,Could Not Determine,0.00,0,Other/Unknown,8,0,8,51,Adult,601 Educated clients on rights,San Mateo,94401,,,
606500,6/17/2014,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,F,White,S,No,No,Unknown,Yes,Unknown,Employed,269.66,40800,Employment or Self-Employment,1,1,2,53,Adult,601 Educated clients on rights,San Mateo,94402,,,
607400,10/7/2013,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,M,White,Unknown,No,No,Unknown,Unknown,Unknown,Employed,317.25,48000,Employment or Self-Employment,2,0,2,27,Adult,601 Educated clients on rights,San Mateo,94403,,,
607500,8/11/2014,,6301 Pvt LL/T Term Notice Breach,Notice,Cause - Breach,,No,No,,English,F,Hispanic & Other,M,No,No,Unknown,Unknown,Unknown,Not Employed,88.86,24000,Spouse/Partner's Income,3,2,5,43,Adult,601 Educated clients on rights,San Mateo,94403,,,
